date,pa,nj
3/8/20,0,0
3/9/20,0,0
3/10/20,0,0
3/11/20,0,0
3/12/20,0,0
3/13/20,0,0
3/14/20,0,0.285714286
3/15/20,0,0.285714286
3/16/20,0,0.428571429
3/17/20,0,0.285714286
3/18/20,0.142857143,0.571428571
3/19/20,0.142857143,1.142857143
3/20/20,0.142857143,1.428571429
3/21/20,0.285714286,2
3/22/20,0.428571429,2.571428571
3/23/20,0.857142857,3.428571429
3/24/20,1.142857143,6.857142857
3/25/20,1.571428571,9.142857143
3/26/20,2.142857143,11.42857143
3/27/20,3.142857143,14.85714286
3/28/20,4.714285714,18.71428571
3/29/20,5.285714286,20.14285714
3/30/20,6,25.57142857
3/31/20,7.857142857,31.85714286
4/1/20,8.857142857,41.85714286
4/2/20,10.57142857,64.28571429
4/3/20,11.28571429,76
4/4/20,14.42857143,100
4/5/20,15.85714286,108
4/6/20,16.28571429,114.1428571
4/7/20,25.28571429,137
4/8/20,33.57142857,163.1428571
4/9/20,35.42857143,166.7142857
4/10/20,44.85714286,183.5714286
4/11/20,51.14285714,190.8571429
4/12/20,50.85714286,204.7142857
4/13/20,51.71428571,205.4285714
4/14/20,49.14285714,224.5714286
4/15/20,48.28571429,236
4/16/20,52.71428571,258.8571429
4/17/20,48.57142857,272.5714286
4/18/20,48.85714286,269.5714286
4/19/20,86.42857143,264.5714286
4/20/20,97.14285714,276.2857143
4/21/20,140,278.2857143
4/22/20,139.2857143,272.4285714
4/23/20,102,264.2857143
4/24/20,105.1428571,253.8571429
4/25/20,100.1428571,256.1428571
4/26/20,62.57142857,248
4/27/20,56.14285714,238.1428571
4/28/20,21.71428571,241.2857143
4/29/20,81.85714286,243.8571429
4/30/20,124.4285714,265.7142857
5/1/20,123.1428571,274.4285714
5/2/20,125.8571429,268.4285714
5/3/20,127.7142857,276.1428571
5/4/20,123,266.5714286
5/5/20,185.1428571,257.4285714
5/6/20,130.1428571,254.1428571
5/7/20,160.5714286,224.7142857
5/8/20,180.2857143,202
5/9/20,181.4285714,196.2857143
5/10/20,180.4285714,197.7142857
5/11/20,181.8571429,200
5/12/20,113.4285714,180.5714286
5/13/20,119.5714286,164.7142857
5/14/20,114.5714286,163.5714286
5/15/20,103.7142857,169.4285714
5/16/20,102.1428571,161.8571429
5/17/20,101.5714286,157.2857143
5/18/20,110.4285714,160.7142857
5/19/20,116.8571429,154
5/20/20,117.7142857,149.2857143
5/21/20,93,128.1428571
5/22/20,91.71428571,121
5/23/20,99,118.8571429
5/24/20,100.8571429,111
5/25/20,90.71428571,101.2857143
5/26/20,75.42857143,86.42857143
5/27/20,71.14285714,84.57142857
5/28/20,72,79.71428571
